BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
5.37e-05	5.79e-05	9.72e-05	0.000489332	0.000216203	5.55e-05	280.0
5.33e-05	5.77e-05	8.74e-05	0.000481987	0.00020736	5.52e-05	280.05
5.3e-05	5.74e-05	7.75e-05	0.000474558	0.00019841	5.49e-05	280.1
5.26e-05	5.72e-05	6.75e-05	0.000467042	0.000189349	5.46e-05	280.15
5.23e-05	5.7e-05	5.74e-05	0.000459464	0.000180211	5.43e-05	280.2
5.2e-05	5.68e-05	4.72e-05	0.000451792	0.000170953	5.41e-05	280.25
5.17e-05	5.66e-05	3.68e-05	0.000444017	0.000161564	5.38e-05	280.3
5.13e-05	5.63e-05	2.62e-05	0.000436135	0.000152037	5.35e-05	280.35
5.1e-05	5.61e-05	1.54e-05	0.000428107	0.000142321	5.32e-05	280.4
5.07e-05	5.59e-05	4.46e-06	0.000419977	0.000132473	5.29e-05	280.45
5.03e-05	5.56e-05	-6.65e-06	0.000411737	0.000122484	5.26e-05	280.5
5e-05	5.54e-05	-1.79e-05	0.000403388	0.000112356	5.23e-05	280.55
4.96e-05	5.51e-05	-2.93e-05	0.000394949	0.000102115	5.2e-05	280.6
4.93e-05	5.49e-05	-4.09e-05	0.000386375	9.17e-05	5.17e-05	280.65
4.89e-05	5.47e-05	-5.28e-05	0.000377658	8.11e-05	5.14e-05	280.7
4.87e-05	5.45e-05	-6.47e-05	0.000368861	7.04e-05	5.12e-05	280.75
4.83e-05	5.43e-05	-7.71e-05	0.000359836	5.94e-05	5.09e-05	280.8
4.8e-05	5.4e-05	-8.96e-05	0.000350656	4.82e-05	5.06e-05	280.85
4.77e-05	5.38e-05	-0.00010252	0.000341322	3.68e-05	5.03e-05	280.9
4.76e-05	5.36e-05	-0.000115803	0.000331831	2.52e-05	5.01e-05	280.95
4.78e-05	5.34e-05	-0.000128763	0.000322108	1.33e-05	4.98e-05	281.0
4.73e-05	5.32e-05	-0.000142305	0.000312118	1.05e-06	4.96e-05	281.05
4.78e-05	5.35e-05	-0.000156433	0.000301972	-1.14e-05	4.99e-05	281.1
4.85e-05	5.38e-05	-0.000169976	0.000291859	-2.38e-05	5.03e-05	281.15
4.85e-05	5.4e-05	-0.000183742	0.000281665	-3.63e-05	5.06e-05	281.2
4.86e-05	5.42e-05	-0.000198179	0.000271317	-4.9e-05	5.09e-05	281.25
4.92e-05	5.44e-05	-0.000212914	0.000260737	-6.2e-05	5.12e-05	281.3
4.97e-05	5.47e-05	-0.00022731	0.000250147	-7.5e-05	5.16e-05	281.35
4.99e-05	5.5e-05	-0.000242005	0.000239397	-8.82e-05	5.2e-05	281.4
5.01e-05	5.53e-05	-0.000257555	0.000228309	-0.00010186	5.24e-05	281.45
5.08e-05	5.58e-05	-0.00027335	0.000217115	-0.000115663	5.31e-05	281.5
5.17e-05	5.63e-05	-0.000289181	0.000205857	-0.000129543	5.38e-05	281.55
5.29e-05	5.7e-05	-0.000305099	0.000194507	-0.000143533	5.47e-05	281.6
5.38e-05	5.74e-05	-0.000320759	0.000183197	-0.000157447	5.53e-05	281.65
5.38e-05	5.75e-05	-0.000336852	0.000171581	-0.000171759	5.54e-05	281.7
5.4e-05	5.77e-05	-0.000354246	0.000159188	-0.000187098	5.56e-05	281.75
5.52e-05	5.84e-05	-0.000371897	0.000146617	-0.000202663	5.66e-05	281.8
5.65e-05	5.93e-05	-0.000389062	0.000134285	-0.000217889	5.78e-05	281.85
5.71e-05	6e-05	-0.000406503	0.000121839	-0.000233265	5.86e-05	281.9
5.77e-05	6.05e-05	-0.000424878	0.000109057	-0.000249139	5.93e-05	281.95
5.84e-05	6.1e-05	-0.000443911	9.59e-05	-0.000265491	5.99e-05	282.0
5.94e-05	6.15e-05	-0.000463682	8.23e-05	-0.000282426	6.06e-05	282.05
6.15e-05	6.23e-05	-0.000483641	6.85e-05	-0.000299688	6.18e-05	282.1
6.36e-05	6.32e-05	-0.000502794	5.45e-05	-0.000317012	6.3e-05	282.15
6.45e-05	6.4e-05	-0.000522208	4.03e-05	-0.000334594	6.41e-05	282.2
6.53e-05	6.49e-05	-0.000542693	2.59e-05	-0.000352565	6.52e-05	282.25
6.63e-05	6.58e-05	-0.000563847	1.11e-05	-0.000370909	6.64e-05	282.3
6.73e-05	6.66e-05	-0.000585665	-3.84e-06	-0.000389603	6.75e-05	282.35
6.84e-05	6.72e-05	-0.000608697	-1.96e-05	-0.000409315	6.83e-05	282.4
7.06e-05	6.85e-05	-0.000631862	-3.56e-05	-0.000429368	7e-05	282.45
7.22e-05	6.95e-05	-0.000654983	-5.17e-05	-0.000449465	7.13e-05	282.5
7.34e-05	7.03e-05	-0.000678913	-6.83e-05	-0.000470196	7.24e-05	282.55
7.47e-05	7.12e-05	-0.000703657	-8.53e-05	-0.000491541	7.36e-05	282.6
7.6e-05	7.21e-05	-0.00072924	-0.000102815	-0.000513546	7.48e-05	282.65
7.73e-05	7.3e-05	-0.000755666	-0.000120854	-0.000536216	7.6e-05	282.7
7.86e-05	7.39e-05	-0.00078318	-0.00013955	-0.000559751	7.72e-05	282.75
7.99e-05	7.49e-05	-0.000811796	-0.000158908	-0.000584158	7.84e-05	282.8
8.13e-05	7.58e-05	-0.000841532	-0.000178925	-0.000609435	7.96e-05	282.85
8.27e-05	7.68e-05	-0.000872607	-0.00019971	-0.000635731	8.09e-05	282.9
8.44e-05	7.78e-05	-0.000905323	-0.00022143	-0.00066327	8.23e-05	282.95
8.71e-05	7.94e-05	-0.000939241	-0.000243885	-0.000691766	8.44e-05	283.0
9.03e-05	8.11e-05	-0.000973932	-0.000266898	-0.000720963	8.68e-05	283.05
9.36e-05	8.29e-05	-0.00100959	-0.000290594	-0.000751035	8.92e-05	283.1
9.69e-05	8.47e-05	-0.00104679	-0.000315299	-0.000782423	9.17e-05	283.15
0.000100283	8.65e-05	-0.00108554	-0.000341005	-0.000815121	9.41e-05	283.2
0.000103727	8.84e-05	-0.001126	-0.000367807	-0.000849253	9.66e-05	283.25
0.000107277	9.03e-05	-0.00116842	-0.000395855	-0.00088502	9.92e-05	283.3
0.00011079	9.22e-05	-0.00121302	-0.000425288	-0.000922603	0.000101715	283.35
0.000114459	9.41e-05	-0.00126037	-0.000456448	-0.000962459	0.000104306	283.4
0.000118751	9.64e-05	-0.00131086	-0.000489908	-0.00100533	0.000107332	283.45
0.000124484	0.000100164	-0.00136409	-0.000525085	-0.00105046	0.000112352	283.5
0.00013085	0.000104335	-0.00142013	-0.000561599	-0.00109736	0.000117913	283.55
0.000137369	0.000108607	-0.00147934	-0.00059995	-0.00114668	0.000123576	283.6
0.000143994	0.000112943	-0.00154248	-0.000640597	-0.00119902	0.000129324	283.65
0.000150718	0.000117339	-0.00161026	-0.000683966	-0.00125495	0.000135152	283.7
0.000157548	0.000121801	-0.00168387	-0.000730755	-0.00131539	0.000141068	283.75
0.000164482	0.000126325	-0.0017648	-0.000781828	-0.00138149	0.000147067	283.8
0.00017151	0.000130909	-0.00185527	-0.000838406	-0.00145487	0.000153145	283.85
0.000179537	0.0001357	-0.00196015	-0.00090294	-0.00153881	0.000159533	283.9
0.000200128	0.000146528	-0.00209147	-0.000984951	-0.00164579	0.000174071	283.95
0.000252545	0.000178635	-0.00222798	-0.00106993	-0.00175654	0.000216813	284.0
0.000319	0.000217855	-0.00235479	-0.00114835	-0.00185825	0.000269073	284.05
0.000389671	0.00025959	-0.00248074	-0.00122806	-0.00196063	0.000324253	284.1
0.000469025	0.000309196	-0.00260787	-0.00130799	-0.00206382	0.000387662	284.15
0.000549948	0.000359754	-0.00273776	-0.00138749	-0.00216815	0.000452272	284.2
0.000631342	0.000410047	-0.00287805	-0.00147189	-0.00227994	0.000516963	284.25
0.000712511	0.00045935	-0.0030356	-0.00156484	-0.00240427	0.000580966	284.3
0.000789255	0.000503454	-0.00323427	-0.00168134	-0.00255983	0.000640139	284.35
0.000877554	0.000549557	-0.00351794	-0.00184372	-0.00277551	0.000702342	284.4
0.00106518	0.000641979	-0.00394735	-0.00211033	-0.00312929	0.000826405	284.45
0.00156925	0.000951898	-0.00436062	-0.00236907	-0.00347225	0.00123963	284.5
0.00218603	0.00131416	-0.00455482	-0.00248202	-0.00362104	0.00172281	284.55
0.00281857	0.00168239	-0.00460941	-0.00251928	-0.00366872	0.00221392	284.6
0.00345828	0.00205511	-0.00455639	-0.00249569	-0.00363515	0.00271098	284.65
0.00410425	0.00243191	-0.00440279	-0.0024147	-0.00352494	0.00321344	284.7
0.00475732	0.00281332	-0.00413709	-0.00226956	-0.00332911	0.00372199	284.75
0.00541738	0.003199	-0.00375062	-0.00205579	-0.00304168	0.00423623	284.8
0.00608363	0.00358882	-0.00320928	-0.00175522	-0.00263839	0.00475593	284.85
0.00673591	0.00397815	-0.00242299	-0.00132386	-0.00206043	0.00527473	284.9
0.00711061	0.00423092	-0.00116894	-0.000587797	-0.00107716	0.00561096	284.95
0.00679377	0.00403681	1.19e-05	0.000101147	-0.000156365	0.00535291	285.0
0.00625742	0.00373597	0.000787411	0.000533341	0.000423109	0.00495206	285.05
0.00572018	0.00344179	0.00132707	0.000840499	0.000835896	0.00455979	285.1
0.0051951	0.00315372	0.00172014	0.00106748	0.00114198	0.00417549	285.15
0.00468193	0.00287155	0.00201029	0.00123777	0.00137268	0.0037989	285.2
0.00418062	0.00259514	0.00221476	0.00136075	0.00154056	0.00342972	285.25
0.00369139	0.00232473	0.00234108	0.00144081	0.00165145	0.00306804	285.3
0.00321503	0.00206049	0.00238638	0.00147687	0.00170382	0.00271379	285.35
0.00275491	0.00180259	0.00234225	0.00146676	0.00169373	0.00236707	285.4
0.00235392	0.00156976	0.00218233	0.00138755	0.00159075	0.00205392	285.45
0.00212279	0.00143746	0.00199363	0.00129155	0.00146374	0.00187449	285.5
0.00194368	0.00132483	0.00187558	0.00123673	0.00139128	0.00172423	285.55
0.00177022	0.00121335	0.00178453	0.00119052	0.00133196	0.00157603	285.6
0.0015977	0.00110258	0.00170048	0.00114459	0.00127387	0.00142861	285.65
0.0014265	0.000992777	0.00161474	0.00109487	0.00121136	0.00128224	285.7
0.00125647	0.000883873	0.00152117	0.00103806	0.00114005	0.00113672	285.75
0.00108751	0.000775954	0.00141509	0.000971766	0.00105664	0.000991987	285.8
0.000920039	0.000669404	0.00129094	0.000892973	0.000956815	0.000848166	285.85
0.000756488	0.000564119	0.00113622	0.000796132	0.000831091	0.000705897	285.9
0.000626706	0.000475932	0.000923505	0.000650351	0.000646882	0.000589023	285.95
0.000581399	0.000458586	0.000713195	0.000508753	0.000464854	0.000555208	286.0
0.000568985	0.000456355	0.000547699	0.00040441	0.000326116	0.000546857	286.05
0.000559137	0.000453692	0.000408945	0.000314348	0.000208672	0.000539406	286.1
0.000549209	0.000451369	0.000282767	0.000231541	0.00010128	0.000531859	286.15
0.00053922	0.000449435	0.000162936	0.000152491	-1.23e-06	0.000524232	286.2
0.000529153	0.000447977	4.56e-05	7.5e-05	-0.000102134	0.000516505	286.25
0.000519	0.000447131	-7.29e-05	-2.99e-06	-0.000204716	0.000508673	286.3
0.000508776	0.000446995	-0.000197861	-8.39e-05	-0.000313487	0.000500741	286.35
0.000500057	0.000444597	-0.000339332	-0.000169228	-0.000436742	0.000493301	286.4
0.000510726	0.000441569	-0.000514091	-0.000291471	-0.000594847	0.000500925	286.45
0.000594587	0.000515483	-0.000686674	-0.00041323	-0.000751186	0.000583283	286.5
0.000700239	0.000590903	-0.000813823	-0.000490674	-0.000861913	0.000682554	286.55
0.000809402	0.000666038	-0.000914491	-0.000556062	-0.000949517	0.000783988	286.6
0.000920551	0.000743615	-0.000996467	-0.000610217	-0.00102041	0.000887128	286.65
0.00103356	0.000823184	-0.00106205	-0.000653564	-0.00107653	0.000991901	286.7
0.00114849	0.000904558	-0.0011124	-0.000686394	-0.00111879	0.0010984	286.75
0.00126534	0.000987503	-0.00114798	-0.000708877	-0.00114756	0.0012066	286.8
0.00138413	0.0010721	-0.00116702	-0.000719642	-0.00116116	0.00131658	286.85
0.00150379	0.00115856	-0.00116313	-0.000714625	-0.00115389	0.00142782	286.9
0.00160773	0.001235	-0.00112107	-0.000674048	-0.00110752	0.00152495	286.95
0.00166554	0.0012654	-0.00107682	-0.000634347	-0.00106023	0.00157322	287.0
0.00170973	0.0012879	-0.00105346	-0.000617788	-0.00103612	0.00160947	287.05
0.00175392	0.00131182	-0.00103883	-0.000608615	-0.00102078	0.00164613	287.1
0.00179863	0.00133641	-0.00102703	-0.000602944	-0.00100893	0.00168321	287.15
0.00184379	0.00136159	-0.00101581	-0.000599097	-0.000998507	0.00172065	287.2
0.00188948	0.00138738	-0.00100369	-0.000596023	-0.00098817	0.00175852	287.25
0.00193577	0.00141375	-0.000989138	-0.000592896	-0.000976711	0.00179685	287.3
0.00198255	0.00144066	-0.000970099	-0.00058865	-0.000962536	0.00183559	287.35
0.00202919	0.0014682	-0.000942276	-0.000581601	-0.000942684	0.00187458	287.4
0.00206769	0.00149363	-0.000898692	-0.000565568	-0.000909895	0.00190858	287.45
0.00207464	0.00149972	-0.000854891	-0.000550617	-0.000877669	0.00191576	287.5
0.00207232	0.0015037	-0.000829891	-0.000547914	-0.000861709	0.00191752	287.55
0.00206905	0.00150807	-0.000816359	-0.000550942	-0.000854357	0.00191901	287.6
0.00206582	0.00151264	-0.000810795	-0.000558726	-0.000853465	0.0019205	287.65
0.00206264	0.00151743	-0.000812552	-0.000571424	-0.000858833	0.00192198	287.7
0.0020595	0.00152245	-0.000821385	-0.000589321	-0.000870514	0.00192347	287.75
0.0020564	0.0015277	-0.000837935	-0.000613278	-0.000889312	0.00192496	287.8
0.00205334	0.00153321	-0.000864204	-0.000645131	-0.000917261	0.00192645	287.85
0.00205167	0.00153867	-0.000907363	-0.00069017	-0.000960947	0.00192852	287.9
0.00206837	0.00155843	-0.000983149	-0.000773426	-0.00104167	0.0019478	287.95
0.00213707	0.00163946	-0.00105549	-0.000849991	-0.00111639	0.00202657	288.0
0.00222682	0.00173411	-0.00109561	-0.000889626	-0.00115404	0.00212279	288.05
0.00231724	0.00182971	-0.00111314	-0.000910966	-0.00116988	0.00221859	288.1
0.00240691	0.00192669	-0.00111684	-0.000918915	-0.00117161	0.00231351	288.15
0.00249569	0.00202485	-0.00110935	-0.000915005	-0.00116173	0.00240745	288.2
0.00258364	0.00212437	-0.00109165	-0.000899294	-0.00114114	0.00250044	288.25
0.0026708	0.00222507	-0.00106285	-0.000870001	-0.00110881	0.0025925	288.3
0.00275713	0.00232686	-0.00102228	-0.000825478	-0.00106397	0.00268366	288.35
0.00284215	0.00243036	-0.000965749	-0.00076067	-0.00100229	0.00277368	288.4
0.00291635	0.00252634	-0.000883796	-0.000650062	-0.000911088	0.00285305	288.45
0.00294754	0.00254248	-0.000798075	-0.000533987	-0.000816109	0.00288129	288.5
0.0029687	0.00254968	-0.000732094	-0.000456421	-0.000745164	0.0028996	288.55
0.00298888	0.00255794	-0.000674695	-0.000391266	-0.000683841	0.00291731	288.6
0.00300891	0.00256646	-0.000621049	-0.000332777	-0.000627052	0.00293493	288.65
0.00302877	0.0025752	-0.000568945	-0.000278537	-0.000572524	0.00295243	288.7
0.00304849	0.00258414	-0.000516602	-0.000226307	-0.000518344	0.00296984	288.75
0.00306811	0.00259321	-0.000462452	-0.000174714	-0.000462972	0.00298717	288.8
0.00308756	0.00260245	-0.000404512	-0.000122559	-0.000404597	0.00300439	288.85
0.00310525	0.0026147	-0.000336496	-6.93e-05	-0.000338249	0.00302095	288.9
0.00310866	0.00262587	-0.000251052	1.39e-05	-0.000251373	0.00302623	288.95
0.0030792	0.00258729	-0.000171372	8.9e-05	-0.0001709	0.00299429	289.0
0.0030373	0.00255145	-0.000113841	0.00013338	-0.000114884	0.00295342	289.05
0.0029947	0.00251797	-7.2e-05	0.00017088	-7.26e-05	0.00291259	289.1
0.00295208	0.00248451	-4.02e-05	0.000201671	-3.97e-05	0.00287173	289.15
