BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
7.645444336476301e-07	7.645444336476301e-07	1.4572250458923246e-05	1.4572250458923246e-05	1.4572250458923246e-05	7.645444336476301e-07	270.0
8.257791066545935e-07	8.257791066545935e-07	1.4292782107524733e-05	1.4292782107524733e-05	1.4292782107524733e-05	8.257791066545935e-07	270.5
8.828903397246659e-07	8.828903397246659e-07	1.403907655208199e-05	1.403907655208199e-05	1.403907655208199e-05	8.828903397246659e-07	271.0
9.40211432002227e-07	9.40211432002227e-07	1.3786443116680557e-05	1.3786443116680557e-05	1.3786443116680557e-05	9.40211432002227e-07	271.5
1.0176914844825433e-06	1.0176914844825433e-06	1.3547239071690046e-05	1.3547239071690046e-05	1.3547239071690046e-05	1.0176914844825433e-06	272.0
1.0718164978252967e-06	1.0718164978252967e-06	1.331851573465334e-05	1.331851573465334e-05	1.331851573465334e-05	1.0718164978252967e-06	272.5
1.122983549975359e-06	1.122983549975359e-06	1.3081233490524931e-05	1.3081233490524931e-05	1.3081233490524931e-05	1.122983549975359e-06	273.0
1.1742041793201977e-06	1.1742041793201977e-06	1.2835511590339033e-05	1.2835511590339033e-05	1.2835511590339033e-05	1.1742041793201977e-06	273.5
1.2361028071024457e-06	1.2361028071024457e-06	1.2587646578105211e-05	1.2587646578105211e-05	1.2587646578105211e-05	1.2361028071024457e-06	274.0
1.2950779969185597e-06	1.2950779969185597e-06	1.2340964409369986e-05	1.2340964409369986e-05	1.2340964409369986e-05	1.2950779969185597e-06	274.5
1.3533331619216514e-06	1.3533331619216514e-06	1.2091480702788284e-05	1.2091480702788284e-05	1.2091480702788284e-05	1.3533331619216514e-06	275.0
1.4061093327758379e-06	1.4061093327758379e-06	1.1834420603450583e-05	1.1834420603450583e-05	1.1834420603450583e-05	1.4061093327758379e-06	275.5
1.4648008616187944e-06	1.4648008616187944e-06	1.157076671249144e-05	1.157076671249144e-05	1.157076671249144e-05	1.4648008616187944e-06	276.0
1.5167618515588993e-06	1.5167618515588993e-06	1.1300412754035784e-05	1.1300412754035784e-05	1.1300412754035784e-05	1.5167618515588993e-06	276.5
1.5672270757833762e-06	1.5672270757833762e-06	1.1015565120963346e-05	1.1015565120963346e-05	1.1015565120963346e-05	1.5672270757833762e-06	277.0
1.6216586000341738e-06	1.6216586000341738e-06	1.0715716779418077e-05	1.0715716779418077e-05	1.0715716779418077e-05	1.6216586000341738e-06	277.5
1.6818530444572837e-06	1.6818530444572837e-06	1.0403747426115013e-05	1.0403747426115013e-05	1.0403747426115013e-05	1.6818530444572837e-06	278.0
1.7436876344803255e-06	1.7436876344803255e-06	1.0081382359260492e-05	1.0081382359260492e-05	1.0081382359260492e-05	1.7436876344803255e-06	278.5
1.799743802068624e-06	1.799743802068624e-06	9.744640091090663e-06	9.744640091090663e-06	9.744640091090663e-06	1.799743802068624e-06	279.0
1.8424901935375985e-06	1.8424901935375985e-06	9.376754710461968e-06	9.376754710461968e-06	9.376754710461968e-06	1.8424901935375985e-06	279.5
1.8956931029134673e-06	1.8956931029134673e-06	8.971187067031701e-06	8.971187067031701e-06	8.971187067031701e-06	1.8956931029134673e-06	280.0
1.9063004782459255e-06	1.9063004782459255e-06	8.885760174144683e-06	8.885760174144683e-06	8.885760174144683e-06	1.9063004782459255e-06	280.1
1.9168922422672607e-06	1.9168922422672607e-06	8.798383978338847e-06	8.798383978338847e-06	8.798383978338847e-06	1.9168922422672607e-06	280.2
1.9274684202880327e-06	1.9274684202880327e-06	8.708335504946416e-06	8.708335504946416e-06	8.708335504946416e-06	1.9274684202880327e-06	280.3
1.9396983792166837e-06	1.9396983792166837e-06	8.615274796409399e-06	8.615274796409399e-06	8.615274796409399e-06	1.9396983792166837e-06	280.4
1.955805354229157e-06	1.955805354229157e-06	8.521703629757236e-06	8.521703629757236e-06	8.521703629757236e-06	1.955805354229157e-06	280.5
1.971892854596811e-06	1.971892854596811e-06	8.429059809870647e-06	8.429059809870647e-06	8.429059809870647e-06	1.971892854596811e-06	280.6
1.987960909674168e-06	1.987960909674168e-06	8.337087572577926e-06	8.337087572577926e-06	8.337087572577926e-06	1.987960909674168e-06	280.7
