Q(Å⁻¹)	Intensity	Error
1.136702459081870894e-03	7.975835255195080631e-01	7.975835255195080908e-03
1.521171889909270604e-03	8.278688595345137236e-01	8.278688595345137097e-03
1.903250338536294261e-03	8.347677028421814915e-01	8.347677028421814777e-03
2.285325076679393247e-03	8.315520867101595659e-01	8.315520867101595243e-03
2.669783283155321898e-03	8.240099669237995750e-01	8.240099669237995611e-03
3.047072552945889225e-03	8.162341373983077464e-01	8.162341373983077186e-03
3.433907428855933336e-03	8.064702425673156982e-01	8.064702425673156427e-03
3.813572027066496496e-03	7.981681829980573628e-01	7.981681829980573004e-03
4.195617039871685390e-03	7.899829782983650572e-01	7.899829782983650711e-03
4.577653873106765810e-03	7.815638722941807837e-01	7.815638722941808600e-03
4.962069426772606345e-03	7.733786675944884781e-01	7.733786675944884573e-03
5.341700021682578049e-03	7.650181805904470167e-01	7.650181805904470583e-03
5.726095362074433426e-03	7.571837320648122649e-01	7.571837320648123169e-03
6.105704514608586639e-03	7.485891521909192603e-01	7.485891521909192672e-03
6.492464009416950600e-03	7.401116187519521938e-01	7.401116187519521730e-03
6.869661394024281949e-03	7.318679866174767623e-01	7.318679866174768005e-03
7.254007315272923036e-03	7.236243544830014418e-01	7.236243544830014279e-03
7.633564702440459766e-03	7.149129197395425184e-01	7.149129197395425253e-03
8.017881418205252686e-03	7.057338739524600113e-01	7.057338739524600217e-03
8.397408482785664180e-03	6.970224392090010879e-01	6.970224392090011191e-03
8.776919380188734007e-03	6.881941495959763566e-01	6.881941495959763636e-03
9.165960174356571621e-03	6.788980573739680224e-01	6.788980573739680779e-03
9.543049508230427858e-03	6.697190115868854043e-01	6.697190115868854009e-03
9.927280099058412646e-03	6.597212154514017213e-01	6.597212154514017768e-03
1.030671840937130886e-02	6.499575121857698035e-01	6.499575121857698035e-03
1.069090930643889180e-02	6.400183350504290436e-01	6.400183350504290783e-03
1.107030693665163150e-02	6.300791579150882837e-01	6.300791579150882664e-03
1.145445514396102073e-02	6.197307971709068442e-01	6.197307971709068233e-03
1.183380913545466727e-02	6.089730612525248166e-01	6.089730612525248200e-03
1.221791165734097996e-02	5.978061417253022203e-01	5.978061417253022723e-03
1.259960455695315062e-02	5.861714195890959100e-01	5.861714195890959343e-03
1.297888754370838185e-02	5.747121713225986639e-01	5.747121713225986951e-03
1.336291592137412755e-02	5.620834165336423549e-01	5.620834165336423272e-03
1.374214787440222220e-02	5.491625245707713043e-01	5.491625245707712835e-03
1.412612307909242096e-02	5.355985476945678281e-01	5.355985476945678003e-03
1.450530104106643320e-02	5.213328669048892250e-01	5.213328669048892389e-03
1.488922007846530358e-02	5.062486273321691321e-01	5.062486273321691391e-03
1.527072540911748703e-02	4.904044479765508613e-01	4.904044479765508335e-03
1.565220096870908670e-02	4.732740987942677391e-01	4.732740987942677356e-03
1.603126207830127270e-02	4.555004731332922274e-01	4.555004731332922691e-03
1.641505979994551528e-02	4.373760912982590510e-01	4.373760912982590544e-03
1.679405804912120076e-02	4.224673255952478557e-01	4.224673255952478799e-03
1.717779062324819098e-02	4.077338421965855941e-01	4.077338421965856149e-03
1.755672305650289242e-02	3.885571918393793123e-01	3.885571918393793296e-03
1.793800459029606942e-02	3.646446626536344882e-01	3.646446626536344743e-03
1.831925115303140866e-02	3.401474759893402533e-01	3.401474759893402793e-03
1.870046200144923759e-02	3.202106942838757186e-01	3.202106942838757291e-03
1.908401861609816327e-02	3.118500157144745155e-01	3.118500157144745311e-03
1.946515557154133644e-02	3.086343995824524788e-01	3.086343995824524910e-03
1.984387282925388282e-02	2.936087790098754202e-01	2.936087790098754202e-03
2.022731489450521961e-02	2.653113187350096824e-01	2.653113187350096720e-03
2.060595451964173513e-02	2.322197437621823513e-01	2.322197437621823565e-03
2.098931648080431742e-02	1.980172812670390747e-01	1.980172812670390713e-03
2.136787552065694956e-02	1.697783250531002819e-01	1.697783250531002862e-03
2.174877390584552608e-02	1.535248471494253808e-01	1.535248471494253921e-03
2.212962989068649466e-02	1.538171758887001139e-01	1.538171758887001269e-03
2.251044273268161880e-02	1.634055585369112162e-01	1.634055585369112266e-03
2.289121168941677525e-02	1.638732845197507781e-01	1.638732845197507851e-03
2.327431540372681615e-02	1.460996971718472592e-01	1.460996971718472610e-03
2.365261497787994258e-02	1.141773988430468678e-01	1.141773988430468774e-03
2.403324782521328029e-02	7.804556666869039150e-02	7.804556666869039193e-04
2.441621233206388991e-02	4.916348722834719409e-02	4.916348722834719236e-04
2.479437221576884579e-02	3.372852979464151246e-02	3.372852979464151463e-04
2.517724018445121476e-02	3.407932428177119083e-02	3.407932428177118888e-04
2.555530325482920431e-02	4.606480259203506872e-02	4.606480259203506893e-04
2.594044898420178394e-02	6.138282853003085293e-02	6.138282853003085163e-04
2.631603500850126370e-02	6.863258126404413184e-02	6.863258126404413748e-04
2.669870094457927126e-02	6.348759545280890926e-02	6.348759545280890796e-04
2.707656154444598728e-02	4.705872030556914470e-02	4.705872030556914687e-04
2.745674600235098115e-02	2.589411958207878117e-02	2.589411958207878074e-04
2.783687693192468324e-02	9.172915695564293898e-03	9.172915695564294277e-05
2.821695359208239301e-02	3.910998388619176501e-03	3.910998388619176501e-05
2.859697524184522111e-02	1.116075112263245107e-02	1.116075112263245151e-04
2.897931575033769330e-02	2.659570855633813097e-02	2.659570855633812923e-04
2.935922480140017513e-02	4.162140575505918899e-02	4.162140575505918791e-04
2.973670272059275588e-02	5.103439115970546253e-02	5.103439115970545862e-04
3.011649692115362861e-02	5.167751438610986708e-02	5.167751438610987316e-04
3.049860556867210748e-02	4.384310417354712885e-02	4.384310417354712842e-04
3.087590844100621471e-02	3.045444791476455138e-02	3.045444791476455138e-04
3.126026909371300289e-02	1.577954520317316478e-02	1.577954520317316424e-04
3.163507918432244270e-02	5.606505076412603150e-03	5.606505076412602933e-05
3.201457241465296977e-02	3.326340910069718916e-03	3.326340910069718970e-05
3.239637447571961509e-02	9.523710182693968795e-03	9.523710182693968524e-05
3.277337089345290499e-02	2.115839400582817525e-02	2.115839400582817569e-04
3.315504510869328458e-02	3.390392703820634818e-02	3.390392703820634904e-04
3.353191379892314639e-02	4.249839197288337450e-02	4.249839197288337624e-04
3.391108756305864780e-02	4.466162464351636913e-02	4.466162464351637195e-04
3.429019521579371177e-02	4.056902229367016777e-02	4.056902229367017059e-04
3.467160481128513799e-02	3.138989988044368212e-02	3.138989988044368451e-04
3.504584085967566570e-02	2.057373652727871594e-02	2.057373652727871680e-04
3.542948205446610349e-02	9.816038921968698455e-03	9.816038921968699323e-05
3.580358242504790706e-02	3.150943666504881033e-03	3.150943666504881169e-05
3.618471594491248083e-02	1.221573987291671480e-03	1.221573987291671453e-05
3.656577803626683693e-02	4.027929884329067844e-03	4.027929884329068143e-05
3.694203559878952298e-02	9.757573174113751482e-03	9.757573174113751808e-05
3.731822203836492047e-02	1.624727118601273015e-02	1.624727118601273080e-04
3.770143243720327358e-02	2.121685975368312049e-02	2.121685975368312049e-04
3.807747308202510950e-02	2.267850345005676532e-02	2.267850345005676500e-04
3.846053343188263196e-02	2.086606526655344560e-02	2.086606526655344625e-04
3.883406146404758119e-02	1.607187394244789444e-02	1.607187394244789368e-04
3.921460585189599085e-02	1.034223065266320907e-02	1.034223065266320934e-04
3.959507283024146784e-02	4.904916102153254222e-03	4.904916102153254439e-05
3.996364951411693345e-02	1.572368474421345945e-03	1.572368474421346039e-05
4.034868576045508998e-02	5.199850130323222267e-04	5.199850130323221963e-06
4.072183316529366659e-02	1.806231465841128848e-03	1.806231465841128984e-05
4.110434695199619709e-02	4.787984606443362878e-03	4.787984606443362797e-05
4.147733682656237764e-02	8.178997982030216177e-03	8.178997982030216339e-05
4.185968760358278057e-02	1.092688813121266665e-02	1.092688813121266687e-04
4.223487646425951730e-02	1.180387434903685216e-02	1.180387434903685249e-04
4.261470182491670228e-02	1.069302513979288397e-02	1.069302513979288359e-04
4.299208468421555213e-02	8.295929477740108388e-03	8.295929477740108659e-05
4.336702587102408968e-02	4.963381850008200327e-03	4.963381850008200598e-05
4.374424089494779316e-02	2.332423196535640328e-03	2.332423196535640355e-05
4.412372742840780376e-02	6.953822565971594588e-04	6.953822565971594893e-06
4.450077061390869670e-02	4.615192651773766092e-04	4.615192651773766295e-06
4.487537133613560270e-02	1.864697213696074737e-03	1.864697213696074805e-05
4.525459598042641529e-02	4.612587362878525429e-03	4.612587362878525673e-05
4.562902208787552455e-02	7.945134990610435224e-03	7.945134990610435767e-05
4.600336034768764959e-02	1.028376490480826383e-02	1.028376490480826453e-04
4.638467049812219217e-02	1.145307986190717900e-02	1.145307986190717960e-04
4.675882920911762081e-02	1.121921687048739458e-02	1.121921687048739496e-04
4.713760258744404547e-02	9.640641678403861006e-03	9.640641678403860844e-05
4.751157938663963520e-02	7.126614520641193218e-03	7.126614520641193597e-05
