Q(Å⁻¹)	Intensity	Error
3.392455172593328901e-03	7.553690918844976343e-01	7.553690918844976725e-03
3.952365639725415221e-03	8.146683287847781285e-01	8.146683287847782118e-03
4.521681992968507383e-03	8.362312360416169765e-01	8.362312360416169349e-03
5.081583244708593426e-03	8.399377488338779507e-01	8.399377488338780409e-03
5.650888979034271800e-03	8.342099032277286996e-01	8.342099032277287135e-03
6.215483486305161884e-03	8.252811540203404128e-01	8.252811540203405100e-03
6.780071177536323677e-03	8.139943671884488641e-01	8.139943671884489196e-03
7.344651433588126124e-03	8.020336187602281619e-01	8.020336187602282105e-03
7.909223635329098306e-03	7.907462799532373188e-01	7.907462799532373118e-03
8.473787163636595579e-03	7.784488267144016316e-01	7.784488267144016108e-03
9.033636820860734690e-03	7.668247830967959144e-01	7.668247830967958936e-03
9.602885723508838151e-03	7.543584254775533848e-01	7.543584254775533883e-03
1.016741951687857165e-02	7.420609722387178087e-01	7.420609722387178607e-03
1.073194216042616840e-02	7.295946146194755011e-01	7.295946146194755288e-03
1.129645303508332484e-02	7.157803338075745536e-01	7.157803338075745259e-03
1.186095152179466629e-02	7.021349573760805596e-01	7.021349573760805873e-03
1.242543700151837842e-02	6.886579333498940025e-01	6.886579333498940581e-03
1.298990885522692366e-02	6.740018905114558700e-01	6.740018905114559221e-03
1.355436646390770043e-02	6.590085908873034581e-01	6.590085908873034859e-03
1.411410558214023191e-02	6.430046248562069078e-01	6.430046248562069390e-03
1.468323647021435759e-02	6.254843832271445025e-01	6.254843832271444852e-03
1.524294427179549716e-02	6.081330459784888287e-01	6.081330459784888356e-03
1.581204206866220624e-02	5.880858623445164302e-01	5.880858623445164510e-03
1.637641916758568808e-02	5.671963647089074412e-01	5.671963647089074516e-03
1.694077830775763197e-02	5.444538866647176123e-01	5.444538866647176401e-03
1.750041611072737993e-02	5.201952434175818318e-01	5.201952434175818700e-03
1.806944023631126828e-02	4.920619557629173912e-01	4.920619557629173947e-03
1.862903935762806606e-02	4.627494285059615686e-01	4.627494285059615894e-03
1.919802290345971191e-02	4.295622568414771969e-01	4.295622568414771657e-03
1.975758088844803070e-02	3.940166059724101166e-01	3.940166059724100819e-03
2.032652135868722593e-02	3.539224594945050706e-01	3.539224594945050793e-03
2.089073745989488903e-02	3.113013710116900312e-01	3.113013710116900590e-03
2.145493065184748971e-02	2.661533405239650540e-01	2.661533405239650645e-03
2.201439900088482046e-02	2.235322520411500702e-01	2.235322520411500875e-03
2.258324583318526910e-02	1.834381055632450241e-01	1.834381055632450198e-03
2.314266568299327628e-02	1.505878594994153052e-01	1.505878594994153113e-03
2.371146195335816290e-02	1.238022742473695176e-01	1.238022742473695237e-03
2.427083085004769214e-02	1.057767546123449809e-01	1.057767546123449887e-03
2.483957406345829733e-02	8.994125138157575694e-02	8.994125138157575607e-04
2.539888955336370990e-02	7.983348336193583916e-02	7.983348336193583743e-04
2.596757721503404476e-02	7.141034334556924101e-02	7.141034334556924578e-04
2.652683684472394859e-02	6.534568253378528202e-02	6.534568253378528159e-04
2.709546646011170776e-02	5.827024492003734374e-02	5.827024492003734504e-04
2.765466777639975782e-02	5.119480730628939158e-02	5.119480730628939765e-04
2.821853806132977247e-02	4.550828619176378736e-02	4.550828619176378932e-04
2.822323685121724823e-02	4.529860929483277288e-02	4.529860929483277483e-04
2.878237740117289487e-02	4.277166728992279343e-02	4.277166728992279517e-04
2.884345811245501295e-02	4.289997199783774501e-02	4.289997199783774848e-04
2.935088344139798189e-02	3.990779968435814729e-02	3.990779968435814902e-04
2.947303751428055618e-02	3.837068697672329359e-02	3.837068697672329424e-04
2.991465876536672855e-02	3.519084127519285510e-02	3.519084127519285618e-04
3.009787871226062353e-02	3.105868720594339230e-02	3.105868720594339534e-04
3.047840128424427614e-02	2.828386646177223629e-02	2.828386646177223933e-04
3.072267936556184048e-02	2.424937138994176511e-02	2.424937138994176468e-04
3.103741294382038676e-02	2.356690805260694063e-02	2.356690805260694107e-04
3.135213591172548997e-02	2.235148298924827942e-02	2.235148298924827931e-04
3.160578543391123069e-02	2.188228004933362100e-02	2.188228004933362220e-04
3.197685263003767486e-02	2.319014448523040034e-02	2.319014448523040153e-04
3.216472897000560716e-02	2.255613125064294400e-02	2.255613125064294432e-04
3.260152627251608481e-02	2.137689164835162442e-02	2.137689164835162518e-04
3.273303094514042055e-02	2.137689164835162442e-02	2.137689164835162518e-04
3.323085229328847506e-02	1.638852281139374645e-02	1.638852281139374688e-04
3.329660016611327850e-02	1.800763564180498169e-02	1.800763564180498202e-04
3.385543691995671067e-02	1.329067723263968430e-02	1.329067723263968376e-04
3.385543691995671067e-02	1.215930933471326240e-02	1.215930933471326219e-04
3.442362844866244526e-02	1.059527242740237150e-02	1.059527242740237221e-04
3.447997594016111167e-02	1.094619958670242817e-02	1.094619958670242898e-04
3.498239095010843847e-02	1.059527242740237150e-02	1.059527242740237221e-04
3.510916376740327166e-02	1.200029706330380842e-02	1.200029706330380902e-04
3.555050573233577149e-02	1.278528883165768945e-02	1.278528883165768945e-04
3.573360869206100576e-02	1.330573651729432746e-02	1.330573651729432725e-04
3.610919153037861484e-02	1.295375163198502107e-02	1.295375163198501998e-04
3.635800548018053302e-02	1.204133248818366718e-02	1.204133248818366707e-04
3.667722707409817873e-02	1.177451202969369629e-02	1.177451202969369677e-04
3.698704744743735312e-02	8.868781202159559118e-03	8.868781202159559389e-05
3.724052772225077551e-02	8.573718823474386908e-03	8.573718823474386853e-05
3.761134506142022743e-02	6.806751101946635803e-03	6.806751101946636399e-05
3.780378753159861077e-02	6.552165219546403178e-03	6.552165219546402853e-05
3.823559200937705349e-02	6.555409124557497885e-03	6.555409124557498210e-05
3.836231257117464488e-02	6.889090820201067278e-03	6.889090820201067983e-05
3.886448045197066908e-02	8.455862239305975830e-03	8.455862239305976481e-05
3.893018216319175939e-02	7.899867622165058709e-03	7.899867622165059305e-05
3.948862314840928533e-02	9.710007412196672294e-03	9.710007412196673161e-05
3.949331575020722379e-02	9.584495625438380073e-03	9.584495625438380886e-05
4.005640602795966509e-02	9.584495625438380073e-03	9.584495625438380886e-05
4.011271264995136532e-02	9.284264879068132928e-03	9.284264879068132494e-05
4.061476050922332992e-02	8.068330422492392059e-03	8.068330422492392547e-05
4.074143990507458207e-02	7.183764068030341378e-03	7.183764068030341649e-05
4.118245418573347749e-02	6.383702419219070695e-03	6.383702419219070966e-05
4.136542007898713624e-02	5.237146100292023633e-03	5.237146100292023579e-05
4.174071971382734697e-02	5.204462816927746781e-03	5.204462816927747079e-05
4.198934452978083515e-02	4.070201205271029195e-03	4.070201205271029493e-05
4.230832169711506996e-02	4.530611615618418582e-03	4.530611615618418853e-05
4.261790293659045714e-02	5.267922668951918568e-03	5.267922668951918811e-05
4.287118616706295932e-02	5.541388417582410880e-03	5.541388417582410853e-05
4.324171298497545696e-02	6.245078723903564090e-03	6.245078723903563819e-05
4.343400362349871674e-02	6.215239618891739079e-03	6.215239618891739079e-05
4.386546478269823940e-02	6.791362817616689203e-03	6.791362817616689799e-05
4.399677344922402200e-02	6.552165219546403178e-03	6.552165219546402853e-05
4.449384668240844581e-02	5.668018061530544043e-03	5.668018061530543961e-05
4.455949502709274923e-02	6.046776818564407463e-03	6.046776818564407870e-05
4.511747900433730335e-02	3.631635101867534618e-03	3.631635101867534455e-05
4.512216774001170938e-02	4.193686014963754483e-03	4.193686014963754401e-05
4.568479097094124697e-02	3.014446412672430135e-03	3.014446412672430175e-05
4.574105054877037474e-02	2.433913638186645679e-03	2.433913638186645814e-05
4.624267620216163110e-02	2.172132411035770320e-03	2.172132411035770401e-05
4.636924828474600635e-02	2.249254226227279541e-03	2.249254226227279501e-05
4.680988651894564534e-02	2.677520812017766469e-03	2.677520812017766401e-05
4.699269528145569308e-02	3.034056727054585626e-03	3.034056727054585572e-05
4.736767055698429263e-02	3.688297613981758767e-03	3.688297613981758740e-05
4.761607897457654365e-02	3.941965502521469281e-03	3.941965502521469525e-05
4.793477673588644045e-02	4.193686014963754483e-03	4.193686014963754401e-05
4.824408489242645870e-02	3.975306785236354737e-03	3.975306785236354954e-05
4.849245713402967201e-02	3.519834813654426717e-03	3.519834813654426853e-05
4.886733896741207034e-02	2.759632323170527375e-03	2.759632323170527484e-05
4.905945668744478294e-02	2.845983612345098085e-03	2.845983612345098288e-05
4.949052721348715794e-02	1.679887706019233878e-03	1.679887706019233959e-05
4.961703099943352846e-02	2.003669610708437836e-03	2.003669610708437836e-05
5.011833366115740068e-02	1.118215327976161732e-03	1.118215327976161718e-05
5.018392144022416207e-02	1.498281209726441904e-03	1.498281209726442006e-05
5.074138722026472204e-02	1.474710581619937929e-03	1.474710581619937942e-05
5.074138722026472204e-02	1.329818409399110071e-03	1.329818409399110119e-05
5.130816606177204808e-02	1.835206810381106220e-03	1.835206810381106288e-05
5.136437242594191210e-02	2.182571660797508195e-03	2.182571660797508304e-05
5.186552086454675886e-02	2.340595211363102369e-03	2.340595211363102288e-05
5.199197175380906866e-02	2.810926604270351688e-03	2.810926604270351742e-05
5.243218562060152771e-02	2.845983612345098085e-03	2.845983612345098288e-05
5.261481720532708989e-02	2.672432045300827085e-03	2.672432045300827261e-05
5.298942700127953764e-02	2.677520812017766469e-03	2.677520812017766401e-05
5.323759177972826190e-02	1.808123408768793792e-03	1.808123408768793928e-05
5.355129321364968109e-02	2.003669610708437836e-03	2.003669610708437836e-05
5.386497634069257329e-02	1.025885621996478663e-03	1.025885621996478731e-05
5.411778218105584709e-02	9.928928087444457550e-04	9.928928087444458363e-06
5.448760609544604089e-02	7.488965040574293479e-04	7.488965040574293445e-06
5.467952982911522541e-02	6.559672080897818724e-04	6.559672080897818928e-06
5.511016245025955607e-02	1.133603612306108982e-03	1.133603612306108996e-05
5.523653703310812957e-02	1.329818409399110071e-03	1.329818409399110119e-05
5.573732459983812837e-02	1.872241260143573532e-03	1.872241260143573573e-05
5.580284462084827285e-02	2.172132411035770320e-03	2.172132411035770401e-05
5.635973107127996429e-02	2.246689512172288152e-03	2.246689512172288288e-05
5.698206162085308474e-02	2.241560084062305808e-03	2.241560084062305862e-05
5.760899371727305068e-02	1.490098865949885179e-03	1.490098865949885220e-05
5.823116932157682696e-02	9.668971987316811586e-04	9.668971987316811722e-06
5.885326648300820418e-02	7.181199353975350639e-04	7.181199353975350436e-06
5.947996088729982922e-02	8.309673538171478361e-04	8.309673538171479039e-06
6.010189804345215242e-02	1.346474878870378231e-03	1.346474878870378313e-05
6.072375423668419092e-02	1.697840704404172301e-03	1.697840704404172450e-05
6.135020331277392380e-02	1.602946284369497843e-03	1.602946284369497911e-05
6.197189444266680558e-02	1.174639037185968172e-03	1.174639037185968233e-05
6.259350209057805425e-02	6.591315121327374514e-04	6.591315121327374853e-06
6.321969820538159146e-02	3.667541098637411572e-04	3.667541098637411606e-06
6.384113573390481911e-02	4.821662423383449932e-04	4.821662423383449796e-06
6.446248726240225158e-02	7.899319289372885378e-04	7.899319289372884971e-06
6.508842278591754626e-02	1.079744617151293714e-03	1.079744617151293694e-05
6.570959914105095612e-02	1.213109748010836189e-03	1.213109748010836257e-05
6.633068697916226497e-02	8.104496413772181327e-04	8.104496413772182005e-06
6.695635428456252203e-02	4.334366752935122323e-04	4.334366752935122730e-06
6.757726189746823819e-02	2.487772633341460947e-04	2.487772633341460862e-06
6.819807847743415696e-02	3.359775412038467648e-04	3.359775412038467749e-06
6.882346994116066152e-02	5.539782358780985213e-04	5.539782358780985179e-06
6.944410124627538317e-02	9.668971987316811586e-04	9.668971987316811722e-06
7.006463900364176545e-02	8.771322068069892621e-04	8.771322068069892282e-06
7.068974700549693346e-02	7.873672148822973655e-04	7.873672148822974536e-06
7.131009444062406943e-02	4.231778190735474348e-04	4.231778190735474213e-06
7.193034581433417618e-02	2.000476962893133609e-04	2.000476962893133796e-06
7.255516273757428580e-02	1.897888400693485635e-04	1.897888400693485702e-06
7.317521874397608928e-02	4.000953925786267218e-04	4.000953925786267591e-06
7.379517617646268179e-02	7.796730727173237403e-04	7.796730727173238149e-06
7.441969440789067414e-02	7.232493635075174085e-04	7.232493635075173847e-06
7.503945143038040499e-02	7.463317900024381757e-04	7.463317900024382163e-06
7.565910736765781019e-02	4.590838158434242260e-04	4.590838158434242328e-06
7.628331929771614561e-02	1.744005557394013672e-04	1.744005557394013774e-06
7.690276978475002467e-02	1.538828432994717994e-04	1.538828432994718011e-06
7.752211667650624194e-02	2.513419773891372670e-04	2.513419773891372568e-06
7.814601469936950651e-02	4.308719612385210058e-04	4.308719612385209753e-06
7.876515110313889179e-02	5.514135218231072406e-04	5.514135218231072202e-06
7.938418140282743618e-02	4.898603845033185642e-04	4.898603845033185337e-06
7.969598328197176340e-02	4.174355200148138333e-04	4.174355200148138774e-06
8.000775791649512858e-02	3.795776801386971269e-04	3.795776801386971405e-06
8.039394825477401418e-02	2.284250163171191333e-04	2.284250163171191333e-06
8.062657269301830298e-02	2.205654087292429288e-04	2.205654087292429135e-06
