Energy,Intensity
2.750999999999985448e+02,1.056973813792581041e+02
2.751999999999985675e+02,1.054906441756521360e+02
2.752999999999985903e+02,1.054821847933132943e+02
2.753999999999985562e+02,1.052260801494911675e+02
2.754999999999985221e+02,1.053769096739981279e+02
2.755999999999985448e+02,1.052532511805257514e+02
2.756999999999985675e+02,1.050948460897452037e+02
2.757999999999985334e+02,1.052944117572788514e+02
2.758999999999984993e+02,1.051100477260675206e+02
2.759999999999985221e+02,1.047807631120426208e+02
2.760999999999985448e+02,1.044749627534658174e+02
2.761999999999985107e+02,1.047971768389687099e+02
2.762999999999984766e+02,1.043787278099037934e+02
2.763999999999984993e+02,1.044281457538951088e+02
2.764999999999985221e+02,1.046251104770081497e+02
2.765999999999984880e+02,1.044921340370192695e+02
2.766999999999984539e+02,1.041594404181712576e+02
2.767999999999984766e+02,1.042859776268276022e+02
2.768999999999984993e+02,1.039406580641903020e+02
2.769999999999984652e+02,1.037248554329436132e+02
2.770999999999984311e+02,1.038954066816494475e+02
2.771999999999984539e+02,1.039379561122193820e+02
2.772999999999984766e+02,1.038645236231408262e+02
2.773999999999984425e+02,1.037588192217368288e+02
2.774999999999984084e+02,1.037634150652761349e+02
2.775999999999984311e+02,1.036777354107219509e+02
2.776999999999984539e+02,1.036287720007070590e+02
2.777999999999984198e+02,1.033605969546223520e+02
2.778999999999983856e+02,1.034954672861796467e+02
2.779999999999984084e+02,1.031152748667962982e+02
2.780999999999984311e+02,1.032280245448347245e+02
2.781999999999983970e+02,1.030804272619378281e+02
2.782999999999983629e+02,1.032679477790964881e+02
2.783999999999983856e+02,1.026244539279311141e+02
2.784999999999984084e+02,1.025043306987197269e+02
2.785999999999983743e+02,1.023729198757607151e+02
2.786999999999983402e+02,1.026050857301583363e+02
2.787999999999983629e+02,1.021557788944723626e+02
2.788999999999983856e+02,1.025262745890255331e+02
2.789999999999983515e+02,1.021213858235903160e+02
2.790999999999983174e+02,1.021443902931744105e+02
2.791999999999983402e+02,1.016782909522486875e+02
2.792999999999983629e+02,1.020407312946642691e+02
2.793999999999983288e+02,1.019160122219135900e+02
2.794999999999982947e+02,1.017929597737430925e+02
2.795999999999983174e+02,1.018127572536047012e+02
2.796999999999983402e+02,1.016235953637534379e+02
2.797999999999983061e+02,1.015292543117598001e+02
2.798999999999982720e+02,1.014907956869776058e+02
