Energy,Processed_Intensity
2.750999999999985448e+02,6.142392551149059108e-04
2.751999999999985675e+02,1.119614632254048023e-05
2.752999999999985903e+02,3.971160144088400987e-04
2.753999999999985562e+02,-4.537640902066300899e-04
2.754999999999985221e+02,7.289858087192886129e-04
2.755999999999985448e+02,5.398719932742648484e-04
2.756999999999985675e+02,1.764032615505762528e-04
2.757999999999985334e+02,1.606885994564653244e-03
2.758999999999984993e+02,1.113453989968024365e-03
2.759999999999985221e+02,-1.084766521056553185e-04
2.760999999999985448e+02,-1.214390323518841144e-03
2.761999999999985107e+02,8.365073532584535280e-04
2.762999999999984766e+02,-8.374812551585251140e-04
2.763999999999984993e+02,-1.571988312284313771e-04
2.764999999999985221e+02,1.268123085188488548e-03
2.765999999999984880e+02,1.030878406102288562e-03
2.766999999999984539e+02,-2.153756750200922756e-04
2.767999999999984766e+02,8.574516459875161515e-04
2.768999999999984993e+02,-4.548691321295964332e-04
2.769999999999984652e+02,-1.113645273481903052e-03
2.770999999999984311e+02,1.841132241353958077e-04
2.771999999999984539e+02,8.349061854125070219e-04
2.772999999999984766e+02,8.981329550796552817e-04
2.773999999999984425e+02,7.975392887373592126e-04
2.774999999999984084e+02,1.257512934722713636e-03
2.775999999999984311e+02,1.258934747300020224e-03
2.776999999999984539e+02,1.447323267328672362e-03
2.777999999999984198e+02,5.188407853286675607e-04
2.778999999999983856e+02,1.644591055481979622e-03
2.779999999999984084e+02,1.428960149980511903e-04
2.780999999999984311e+02,1.157191144900506430e-03
2.781999999999983970e+02,8.419295034580782282e-04
2.782999999999983629e+02,2.241148183172948262e-03
2.783999999999983856e+02,-6.136642177863042748e-04
2.784999999999984084e+02,-7.903584486812736780e-04
2.785999999999983743e+02,-1.025258641000777659e-03
2.786999999999983402e+02,6.063234360651984650e-04
2.787999999999983629e+02,-1.261484081869451972e-03
2.788999999999983856e+02,1.084114769648933515e-03
2.789999999999983515e+02,-5.577758898250363999e-04
2.790999999999983174e+02,2.079708587205923122e-06
2.791999999999983402e+02,-1.959100777269665375e-03
2.792999999999983629e+02,3.522306532274973017e-04
2.793999999999983288e+02,1.512733862830646712e-04
2.794999999999982947e+02,-4.140707107431375734e-05
2.795999999999983174e+02,5.046518482815883682e-04
2.796999999999983402e+02,-3.037535536786698580e-05
2.797999999999983061e+02,-7.490201090723957089e-05
2.798999999999982720e+02,1.703487094123083462e-04
2.799999999999982947e+02,2.509745140303790796e-04
2.800999999999983174e+02,5.824581883328216678e-04
2.801999999999982833e+02,1.125650447107541703e-03
2.802999999999982492e+02,1.176276073305183726e-03
2.803999999999982720e+02,1.015876988714864296e-03
2.804999999999982947e+02,1.846227871272997523e-03
2.805999999999982606e+02,2.065058180566503414e-03
2.806999999999982265e+02,2.264612459526952129e-03
2.807999999999982492e+02,9.827534644735707713e-04
2.808999999999982720e+02,1.612218827802119935e-03
2.809999999999982379e+02,4.997487666517601420e-04
2.810999999999982037e+02,1.854457227060579867e-03
2.811999999999982265e+02,5.872008845540719864e-04
2.812999999999982492e+02,1.348376298301896077e-03
2.813999999999982151e+02,-1.076261144641016078e-05
2.814999999999981810e+02,2.260034915245787319e-03
2.815999999999982037e+02,3.805710841705846424e-03
2.816999999999982265e+02,2.570601123596151158e-03
2.817999999999981924e+02,1.588550831641774965e-03
2.818999999999981583e+02,2.598057048432710937e-03
2.819999999999981810e+02,3.255672191264574310e-03
2.820999999999982037e+02,3.710494871019986551e-03
2.821999999999981696e+02,2.223268860649073742e-03
2.822999999999981355e+02,3.590146806150415742e-03
2.823999999999981583e+02,3.190087018314978744e-03
2.824999999999981810e+02,4.638908137834895154e-03
2.825999999999981469e+02,4.338786251800338251e-03
2.826999999999981128e+02,4.045120640177500559e-03
2.827999999999981355e+02,4.091853457631696757e-03
2.828999999999981583e+02,3.189641991791270642e-03
2.829999999999981242e+02,4.450664772360276439e-03
2.830999999999980901e+02,4.381965356604666621e-03
2.831999999999981128e+02,6.307363855777392385e-03
2.832999999999981355e+02,5.860955211407997169e-03
2.833999999999981014e+02,5.803157440367421975e-03
2.834999999999980673e+02,6.661828794763556896e-03
2.835999999999980901e+02,8.341208922015187419e-03
2.836999999999981128e+02,8.459993116608811869e-03
2.837999999999980787e+02,9.471547008730948555e-03
2.838999999999980446e+02,1.132032928926172445e-02
2.839999999999980673e+02,1.255935099491130476e-02
2.840999999999980901e+02,1.528413704233626443e-02
2.841999999999980560e+02,2.017315333863432467e-02
2.842999999999980218e+02,2.759382035929561217e-02
2.843999999999980446e+02,3.956764656560969595e-02
2.844999999999980673e+02,7.137428705416225261e-02
2.845999999999980332e+02,1.409470291362187877e-01
2.846999999999979991e+02,3.153226375904378265e-01
2.847999999999980218e+02,7.040575927583773153e-01
2.848999999999980446e+02,1.308888280212712640e+00
2.849999999999980105e+02,1.602227795690857048e+00
2.850999999999979764e+02,1.451803612452521319e+00
2.851999999999979991e+02,1.211566760409851229e+00
2.852999999999980218e+02,1.038634003238327885e+00
2.853999999999979877e+02,1.107581828929879331e+00
2.854999999999979536e+02,1.357011311829631861e+00
2.855999999999979764e+02,1.404204247569217578e+00
2.856999999999979991e+02,1.628317384047921479e+00
2.857999999999979650e+02,1.519259765280684515e+00
2.858999999999979309e+02,1.321722013896271974e+00
2.859999999999979536e+02,9.942648630295580769e-01
2.860999999999979764e+02,7.037846970407762859e-01
2.861999999999979423e+02,4.990305631977249856e-01
2.862999999999979082e+02,3.751617225335921457e-01
2.863999999999979309e+02,3.196008578266556488e-01
2.864999999999979536e+02,3.042410936059425919e-01
2.865999999999979195e+02,2.952212719711897471e-01
2.866999999999978854e+02,3.067943584682703007e-01
2.867999999999979082e+02,3.318271314035942110e-01
2.868999999999979309e+02,3.612832975579376438e-01
2.869999999999978968e+02,4.013447227338963752e-01
2.870999999999978627e+02,4.627493773784625009e-01
2.871999999999978854e+02,5.345197842455319259e-01
2.872999999999979082e+02,5.957992410616044232e-01
2.873999999999978741e+02,6.499975021200870007e-01
2.874999999999978400e+02,6.899548943886366636e-01
2.875999999999978627e+02,7.105320796731152688e-01
2.876999999999978854e+02,7.227669989394815975e-01
2.877999999999978513e+02,7.438914483070564465e-01
2.878999999999978172e+02,7.593500335306178073e-01
2.879999999999978400e+02,7.768018838836604489e-01
2.880999999999978627e+02,7.974252823546001956e-01
2.881999999999978286e+02,8.341724063879287776e-01
2.882999999999977945e+02,8.939180899479309828e-01
2.883999999999978172e+02,9.709618656203320430e-01
2.884999999999978400e+02,1.034158965637112848e+00
2.885999999999978058e+02,1.077704606526861175e+00
2.886999999999977717e+02,1.092647446422448265e+00
2.887999999999977945e+02,1.091931074200600538e+00
2.888999999999978172e+02,1.053824930253116188e+00
2.889999999999977831e+02,1.035247806438552631e+00
2.890999999999977490e+02,1.014838079850351349e+00
2.891999999999977717e+02,1.018675999641083463e+00
2.892999999999977945e+02,1.015765152110517544e+00
2.893999999999977604e+02,1.033666508416701380e+00
2.894999999999977263e+02,1.047036274641613085e+00
2.895999999999977490e+02,1.057294244333381483e+00
2.896999999999977717e+02,1.065158268979388367e+00
2.897999999999977376e+02,1.071314686523356263e+00
2.898999999999977035e+02,1.072570171233199199e+00
2.899999999999977263e+02,1.080267196869124424e+00
2.900999999999977490e+02,1.106020541074294261e+00
2.901999999999977149e+02,1.111606763528883324e+00
2.902999999999976808e+02,1.127033196329014997e+00
2.903999999999977035e+02,1.135176821460003094e+00
2.904999999999977263e+02,1.138822324504752181e+00
2.905999999999976922e+02,1.141376455604442119e+00
2.906999999999976581e+02,1.141748531576880277e+00
2.907999999999976808e+02,1.143552444297485593e+00
2.908999999999977035e+02,1.149350295380040965e+00
2.909999999999976694e+02,1.153882549923603618e+00
2.910999999999976353e+02,1.160274642455754401e+00
2.911999999999976581e+02,1.167377958299603780e+00
2.912999999999976808e+02,1.192086034225288582e+00
2.913999999999976467e+02,1.200594289111183599e+00
2.914999999999976126e+02,1.205167628368458921e+00
2.915999999999976353e+02,1.220808440599531641e+00
2.916999999999976581e+02,1.236133088810156933e+00
2.917999999999976239e+02,1.246250035477690199e+00
2.918999999999975898e+02,1.254431939041704025e+00
2.919999999999976126e+02,1.267183616967738180e+00
2.920999999999976353e+02,1.279234552488302645e+00
2.921999999999976012e+02,1.291103433507924558e+00
2.922999999999975671e+02,1.305949932170000771e+00
2.923999999999975898e+02,1.315408330901383094e+00
2.924999999999976126e+02,1.320984048781392861e+00
2.925999999999975785e+02,1.328325331603745774e+00
2.926999999999975444e+02,1.356128450030115173e+00
2.927999999999975671e+02,1.375227921351840354e+00
2.928999999999975898e+02,1.384515226293645318e+00
2.929999999999975557e+02,1.400097481109905617e+00
2.930999999999975216e+02,1.414550916406579706e+00
2.931999999999975444e+02,1.422616459250709120e+00
2.932999999999975671e+02,1.437932035956146715e+00
2.933999999999975330e+02,1.440971359019260767e+00
2.934999999999974989e+02,1.451462380054288293e+00
2.935999999999975216e+02,1.464952203235062589e+00
2.936999999999975444e+02,1.471968500002855285e+00
2.937999999999975103e+02,1.480079875335277073e+00
