Energy,Intensity
2.750999999999985448e+02,9.656124845332188045e+01
2.751999999999985675e+02,9.620294942046918152e+01
2.752999999999985903e+02,9.633824903411529306e+01
2.753999999999985562e+02,9.624567561425216411e+01
2.754999999999985221e+02,9.649983586273073399e+01
2.755999999999985448e+02,9.605161485821065526e+01
2.756999999999985675e+02,9.600159086891744664e+01
2.757999999999985334e+02,9.600378778313678652e+01
2.758999999999984993e+02,9.583500416656144694e+01
2.759999999999985221e+02,9.595204666548823980e+01
2.760999999999985448e+02,9.554930431049720596e+01
2.761999999999985107e+02,9.557473296128885920e+01
2.762999999999984766e+02,9.528362920128279256e+01
2.763999999999984993e+02,9.525279664654932787e+01
2.764999999999985221e+02,9.548309386126612708e+01
2.765999999999984880e+02,9.532198681851468791e+01
2.766999999999984539e+02,9.504242317113204308e+01
2.767999999999984766e+02,9.525163505972071221e+01
2.768999999999984993e+02,9.499323249412893233e+01
2.769999999999984652e+02,9.459377288452311916e+01
2.770999999999984311e+02,9.474063786268023080e+01
2.771999999999984539e+02,9.479576273326431135e+01
2.772999999999984766e+02,9.469864397363703290e+01
2.773999999999984425e+02,9.427958889927022312e+01
2.774999999999984084e+02,9.454367313956717567e+01
2.775999999999984311e+02,9.431054771344157928e+01
2.776999999999984539e+02,9.454248630085098171e+01
2.777999999999984198e+02,9.384311002247417832e+01
2.778999999999983856e+02,9.438675791015378991e+01
2.779999999999984084e+02,9.396737456124844812e+01
2.780999999999984311e+02,9.403454458220751633e+01
2.781999999999983970e+02,9.376624327668493208e+01
2.782999999999983629e+02,9.389432085048356669e+01
2.783999999999983856e+02,9.334004191813338025e+01
2.784999999999984084e+02,9.346463473144618206e+01
2.785999999999983743e+02,9.321948940683316209e+01
2.786999999999983402e+02,9.315353147647786614e+01
2.787999999999983629e+02,9.319118204085755508e+01
2.788999999999983856e+02,9.338140450998712083e+01
2.789999999999983515e+02,9.288290699729805056e+01
2.790999999999983174e+02,9.287800813110780496e+01
2.791999999999983402e+02,9.255680412110805833e+01
2.792999999999983629e+02,9.268950279033357731e+01
2.793999999999983288e+02,9.282477715209212477e+01
2.794999999999982947e+02,9.266649832074948279e+01
2.795999999999983174e+02,9.245367541223706098e+01
2.796999999999983402e+02,9.254165298856089805e+01
2.797999999999983061e+02,9.256831898184388763e+01
2.798999999999982720e+02,9.230723971616878032e+01
2.799999999999982947e+02,9.241822176207671191e+01
2.800999999999983174e+02,9.206954369839145613e+01
2.801999999999982833e+02,9.188712406252366804e+01
2.802999999999982492e+02,9.187528092724930673e+01
2.803999999999982720e+02,9.197396530390646774e+01
2.804999999999982947e+02,9.182167116991995215e+01
2.805999999999982606e+02,9.193419358097017380e+01
2.806999999999982265e+02,9.176712709275018653e+01
2.807999999999982492e+02,9.146178126814979237e+01
2.808999999999982720e+02,9.142938309638645933e+01
2.809999999999982379e+02,9.147814449130072489e+01
2.810999999999982037e+02,9.158038938410646779e+01
2.811999999999982265e+02,9.112684023130728406e+01
2.812999999999982492e+02,9.120815130931036663e+01
2.813999999999982151e+02,9.113098154087018088e+01
2.814999999999981810e+02,9.128514431453751854e+01
2.815999999999982037e+02,9.117262190348728268e+01
2.816999999999982265e+02,9.121842882755485959e+01
2.817999999999981924e+02,9.103239817176333304e+01
2.818999999999981583e+02,9.082040857554102331e+01
2.819999999999981810e+02,9.099863639807075799e+01
2.820999999999982037e+02,9.071672432514330353e+01
2.821999999999981696e+02,9.083323653443095225e+01
2.822999999999981355e+02,9.082447412944117104e+01
2.823999999999981583e+02,9.069839145476124997e+01
2.824999999999981810e+02,9.080066159945455695e+01
2.825999999999981469e+02,9.068909876013232463e+01
2.826999999999981128e+02,9.052897654099643887e+01
2.827999999999981355e+02,9.049678038433373217e+01
2.828999999999981583e+02,9.038789424509482728e+01
2.829999999999981242e+02,9.030509330572459703e+01
2.830999999999980901e+02,9.003878689932072632e+01
2.831999999999981128e+02,9.037087447286684494e+01
2.832999999999981355e+02,9.032433524405949754e+01
2.833999999999981014e+02,9.033458751041639800e+01
2.834999999999980673e+02,9.021216635943537199e+01
2.835999999999980901e+02,9.030314891038105429e+01
2.836999999999981128e+02,9.027441226231660210e+01
2.837999999999980787e+02,9.058016211711824894e+01
2.838999999999980446e+02,9.054107219514658311e+01
2.839999999999980673e+02,9.080008080604025622e+01
2.840999999999980901e+02,9.112282518118229291e+01
2.841999999999980560e+02,9.177583899396479694e+01
2.842999999999980218e+02,9.238317214211762973e+01
2.843999999999980446e+02,9.369821469154818772e+01
2.844999999999980673e+02,9.583002954470846646e+01
2.845999999999980332e+02,9.877402085805914567e+01
2.846999999999979991e+02,1.058384131713845591e+02
2.847999999999980218e+02,1.188516199085881624e+02
2.848999999999980446e+02,1.704263023661018792e+02
2.849999999999980105e+02,2.921843892830989375e+02
2.850999999999979764e+02,3.417939698492462526e+02
2.851999999999979991e+02,3.481492134037019355e+02
2.852999999999980218e+02,3.947123810004798088e+02
2.853999999999979877e+02,3.521275472841595047e+02
2.854999999999979536e+02,3.115893285523092686e+02
2.855999999999979764e+02,2.433960758566702793e+02
2.856999999999979991e+02,1.880413373399661623e+02
2.857999999999979650e+02,1.530420696447059470e+02
2.858999999999979309e+02,1.305310219438902948e+02
2.859999999999979536e+02,1.197384409484608909e+02
2.860999999999979764e+02,1.142746900330799775e+02
2.861999999999979423e+02,1.117323299916668731e+02
2.862999999999979082e+02,1.090529027044771624e+02
2.863999999999979309e+02,1.069327794752657752e+02
2.864999999999979536e+02,1.061761319158607080e+02
2.865999999999979195e+02,1.068313931466377085e+02
2.866999999999978854e+02,1.144465543799398972e+02
2.867999999999979082e+02,1.327961920153531423e+02
2.868999999999979309e+02,1.502892098684376663e+02
2.869999999999978968e+02,1.725651372440089801e+02
2.870999999999978627e+02,1.968736900583318743e+02
2.871999999999978854e+02,2.136509684098886339e+02
2.872999999999979082e+02,2.240251508800282920e+02
2.873999999999978741e+02,2.302509785106436766e+02
2.874999999999978400e+02,2.391161334309739743e+02
2.875999999999978627e+02,2.491379258099542824e+02
2.876999999999978854e+02,2.566043786773061015e+02
2.877999999999978513e+02,2.635784702406504607e+02
2.878999999999978172e+02,2.693287795762733481e+02
2.879999999999978400e+02,2.731511325471578857e+02
2.880999999999978627e+02,2.728455847074569078e+02
2.881999999999978286e+02,2.732658771243150682e+02
2.882999999999977945e+02,2.738515946567005699e+02
2.883999999999978172e+02,2.756644024140804277e+02
2.884999999999978400e+02,2.773162798919219085e+02
2.885999999999978058e+02,2.810141410570440144e+02
2.886999999999977717e+02,2.830866139743945951e+02
2.887999999999977945e+02,2.836218529835105073e+02
2.888999999999978172e+02,2.776761192899169259e+02
2.889999999999977831e+02,2.747411176485442184e+02
2.890999999999977490e+02,2.686557410166410023e+02
2.891999999999977717e+02,2.635330168430090225e+02
2.892999999999977945e+02,2.585691270422464072e+02
2.893999999999977604e+02,2.549238403070629602e+02
2.894999999999977263e+02,2.535507689199767754e+02
2.895999999999977490e+02,2.532282770637105216e+02
2.896999999999977717e+02,2.546001363601929199e+02
2.897999999999977376e+02,2.572395141536829897e+02
2.898999999999977035e+02,2.600202520138380464e+02
2.899999999999977263e+02,2.650808312921390666e+02
2.900999999999977490e+02,2.718740688366455629e+02
2.901999999999977149e+02,2.749380318678821027e+02
2.902999999999976808e+02,2.778781343905457106e+02
2.903999999999977035e+02,2.785075629403297626e+02
2.904999999999977263e+02,2.790624479179818422e+02
2.905999999999976922e+02,2.790891896669276093e+02
2.906999999999976581e+02,2.805244312012322894e+02
2.907999999999976808e+02,2.803455973334006899e+02
