Energy,Processed_Intensity
2.750999999999985448e+02,6.818861611737582961e-04
2.751999999999985675e+02,-7.711242010882942213e-04
2.752999999999985903e+02,3.776799191248403245e-04
2.753999999999985562e+02,3.251290183727467481e-04
2.754999999999985221e+02,2.105054365006446809e-03
2.755999999999985448e+02,1.726035162098866994e-04
2.756999999999985675e+02,3.450109656881295375e-04
2.757999999999985334e+02,7.944279669440034927e-04
2.758999999999984993e+02,3.378326327426772508e-04
2.759999999999985221e+02,1.397622614798922549e-03
2.760999999999985448e+02,-3.021725153635022735e-04
2.761999999999985107e+02,2.717667274654180908e-04
2.762999999999984766e+02,-8.378244168007535587e-04
2.763999999999984993e+02,-5.630254320530244175e-04
2.764999999999985221e+02,1.104339602844777975e-03
2.765999999999984880e+02,6.862005544793154180e-04
2.766999999999984539e+02,-3.652560892244206586e-04
2.767999999999984766e+02,1.193927170846887861e-03
2.768999999999984993e+02,2.542860978626343893e-04
2.769999999999984652e+02,-1.442241700057671043e-03
2.770999999999984311e+02,-2.140322686639111729e-04
2.771999999999984539e+02,5.242650752785841433e-04
2.772999999999984766e+02,4.465703505016145234e-04
2.773999999999984425e+02,-1.361001232802234008e-03
2.774999999999984084e+02,5.019349687240544193e-04
2.775999999999984311e+02,-3.080160997190531510e-04
2.776999999999984539e+02,1.385934646676373382e-03
2.777999999999984198e+02,-1.938576506314043440e-03
2.778999999999983856e+02,1.439053362109655228e-03
2.779999999999984084e+02,-3.789417297937620866e-04
2.780999999999984311e+02,4.301653701849422556e-04
2.781999999999983970e+02,-5.744502220128157961e-04
2.782999999999983629e+02,5.657538720004803975e-04
2.783999999999983856e+02,-1.990587754016022622e-03
2.784999999999984084e+02,-8.685265161750129956e-04
2.785999999999983743e+02,-1.752101872757554860e-03
2.786999999999983402e+02,-1.663420732775501391e-03
2.787999999999983629e+02,-1.011010874972181634e-03
2.788999999999983856e+02,4.731933921637987840e-04
2.789999999999983515e+02,-1.792858549041700597e-03
2.790999999999983174e+02,-1.370888821125389699e-03
2.791999999999983402e+02,-2.674798713797604290e-03
2.792999999999983629e+02,-1.501086116360758919e-03
2.793999999999983288e+02,-3.112019051364836586e-04
