Energy,Intensity
2.750999999999985448e+02,1.026601853488548244e+02
2.751999999999985675e+02,1.024227165980657048e+02
2.752999999999985903e+02,1.028199792934521923e+02
2.753999999999985562e+02,1.021568394737506651e+02
2.754999999999985221e+02,1.024505441781773243e+02
2.755999999999985448e+02,1.021464609479558590e+02
2.756999999999985675e+02,1.024118077826317545e+02
2.757999999999985334e+02,1.019567182646902808e+02
2.758999999999984993e+02,1.021525971566374551e+02
2.759999999999985221e+02,1.020478775788490253e+02
2.760999999999985448e+02,1.013807732127976635e+02
2.761999999999985107e+02,1.019143455973333943e+02
2.762999999999984766e+02,1.016299083356480963e+02
2.763999999999984993e+02,1.016549077043509044e+02
2.764999999999985221e+02,1.015988990177015694e+02
2.765999999999984880e+02,1.016396808161410092e+02
2.766999999999984539e+02,1.014261256028888170e+02
2.767999999999984766e+02,1.014184490290649165e+02
2.768999999999984993e+02,1.010766142269134633e+02
2.769999999999984652e+02,1.011125476629377999e+02
2.770999999999984311e+02,1.009866670033585052e+02
2.771999999999984539e+02,1.007708643721118165e+02
2.772999999999984766e+02,1.011842377717734394e+02
2.773999999999984425e+02,1.008502815585464987e+02
2.774999999999984084e+02,1.007720259589404321e+02
2.775999999999984311e+02,1.004759728289689633e+02
2.776999999999984539e+02,1.008631600212115842e+02
2.777999999999984198e+02,1.002187823539809557e+02
2.778999999999983856e+02,1.003306987197292983e+02
2.779999999999984084e+02,9.991825963990808646e+01
2.780999999999984311e+02,1.003521123203959462e+02
2.781999999999983970e+02,9.996911694149137873e+01
2.782999999999983629e+02,9.994323375672331622e+01
2.783999999999983856e+02,9.968561399964647762e+01
2.784999999999984084e+02,9.992626448827050467e+01
2.785999999999983743e+02,9.954804171611827712e+01
2.786999999999983402e+02,9.951978485391782669e+01
2.787999999999983629e+02,9.939827277088961921e+01
2.788999999999983856e+02,9.941256533925910333e+01
2.789999999999983515e+02,9.917380874220347664e+01
2.790999999999983174e+02,9.931650715891012737e+01
2.791999999999983402e+02,9.886394282972652547e+01
2.792999999999983629e+02,9.896338476301103526e+01
2.793999999999983288e+02,9.876788464937753531e+01
2.794999999999982947e+02,9.883199919193960170e+01
2.795999999999983174e+02,9.898328325042297138e+01
