Energy,Processed_Intensity
2.750999999999985448e+02,1.841642626817727819e-03
2.751999999999985675e+02,7.477779847416841713e-04
2.752999999999985903e+02,3.581997509293432906e-03
2.753999999999985562e+02,-1.488580481415314820e-04
2.754999999999985221e+02,2.046340818709538757e-03
2.755999999999985448e+02,5.368862513433099708e-04
2.756999999999985675e+02,2.559126410850496528e-03
2.757999999999985334e+02,1.105891490831318203e-04
2.758999999999984993e+02,1.703396215409182495e-03
2.759999999999985221e+02,1.429467239080984414e-03
2.760999999999985448e+02,-2.342852593769660045e-03
2.761999999999985107e+02,1.353059416708480211e-03
2.762999999999984766e+02,-4.075195278375635466e-05
2.763999999999984993e+02,4.919285558914248888e-04
2.764999999999985221e+02,5.201682133048519691e-04
2.765999999999984880e+02,1.152278626957432004e-03
2.766999999999984539e+02,1.974898698382546397e-04
2.767999999999984766e+02,5.274890236412264725e-04
2.768999999999984993e+02,-1.230532548298803822e-03
2.769999999999984652e+02,-6.282766114894497737e-04
2.770999999999984311e+02,-1.037812180396726573e-03
2.771999999999984539e+02,-2.010839122593285726e-03
2.772999999999984766e+02,9.565970478739619590e-04
2.773999999999984425e+02,-7.570466028656160865e-04
2.774999999999984084e+02,-8.689247229567743924e-04
2.775999999999984311e+02,-2.347838580140730255e-03
2.776999999999984539e+02,4.620754275856769314e-04
2.777999999999984198e+02,-3.206532576490169623e-03
2.778999999999983856e+02,-2.124477000748302077e-03
2.779999999999984084e+02,-4.339899770020559829e-03
2.780999999999984311e+02,-1.230667773435925724e-03
2.781999999999983970e+02,-3.262763086717113646e-03
2.782999999999983629e+02,-3.046613434681671832e-03
2.783999999999983856e+02,-4.291598946717807214e-03
2.784999999999984084e+02,-2.393959415166610483e-03
2.785999999999983743e+02,-4.401527888086874570e-03
2.786999999999983402e+02,-4.200539965420307595e-03
2.787999999999983629e+02,-4.588823928782743977e-03
2.788999999999983856e+02,-4.118566547241553875e-03
2.789999999999983515e+02,-5.249330849869314648e-03
2.790999999999983174e+02,-3.965709956697179364e-03
2.791999999999983402e+02,-6.452615390499371641e-03
2.792999999999983629e+02,-5.442443207857155900e-03
2.793999999999983288e+02,-6.302311278851370491e-03
2.794999999999982947e+02,-5.515093384968418680e-03
2.795999999999983174e+02,-4.173199540527078658e-03
2.796999999999983402e+02,-4.181752981586138278e-03
2.797999999999983061e+02,-5.339253485372835208e-03
2.798999999999982720e+02,-6.365264503846289161e-03
2.799999999999982947e+02,-5.901140775038392870e-03
2.800999999999983174e+02,-7.067916810636856728e-03
2.801999999999982833e+02,-6.870097417446530824e-03
2.802999999999982492e+02,-5.961629138702857766e-03
2.803999999999982720e+02,-5.466951493158863848e-03
2.804999999999982947e+02,-5.031507335164977536e-03
2.805999999999982606e+02,-3.812489483335975912e-03
2.806999999999982265e+02,-6.024969751010970237e-03
2.807999999999982492e+02,-5.417143919011450405e-03
2.808999999999982720e+02,-4.930967190659802692e-03
2.809999999999982379e+02,-1.118769671471787734e-02
2.810999999999982037e+02,-5.480762397967606919e-03
2.811999999999982265e+02,-8.094008192377516453e-03
2.812999999999982492e+02,-5.501910459992366727e-03
2.813999999999982151e+02,-7.720068522428404426e-03
2.814999999999981810e+02,-5.818455402156104579e-03
2.815999999999982037e+02,-5.133307951275608780e-03
2.816999999999982265e+02,-5.262789979429196956e-03
2.817999999999981924e+02,-9.631138510799563263e-03
2.818999999999981583e+02,-6.037918712249224634e-03
2.819999999999981810e+02,-6.023976663643021076e-03
2.820999999999982037e+02,-5.353294753531410641e-03
2.821999999999981696e+02,-5.812364631865699939e-03
2.822999999999981355e+02,-6.027383136064930029e-03
2.823999999999981583e+02,-5.235687010234580697e-03
2.824999999999981810e+02,-4.489547264796265626e-03
2.825999999999981469e+02,-4.485379206017437760e-03
2.826999999999981128e+02,-4.654660729599577502e-03
2.827999999999981355e+02,-5.346146922435436599e-03
2.828999999999981583e+02,-4.805615394974926957e-03
2.829999999999981242e+02,-3.574218085508986276e-03
2.830999999999980901e+02,-5.096904888516633723e-03
2.831999999999981128e+02,-3.403348893251535289e-03
2.832999999999981355e+02,-2.050804672874440449e-03
2.833999999999981014e+02,-2.969837999152853247e-03
2.834999999999980673e+02,-3.157642153759092265e-04
2.835999999999980901e+02,1.588177235077123210e-03
2.836999999999981128e+02,6.437019373638559099e-04
2.837999999999980787e+02,2.709290273196308073e-03
2.838999999999980446e+02,5.765685239878485559e-03
2.839999999999980673e+02,8.294881820806539532e-03
2.840999999999980901e+02,1.195473093019719553e-02
2.841999999999980560e+02,2.016825255908306913e-02
2.842999999999980218e+02,2.883851607913162293e-02
2.843999999999980446e+02,4.014348483670195089e-02
2.844999999999980673e+02,6.170009787626170444e-02
2.845999999999980332e+02,9.569387849302561644e-02
2.846999999999979991e+02,1.598851500296572803e-01
2.847999999999980218e+02,3.133900002388290695e-01
2.848999999999980446e+02,9.481507319061113215e-01
2.849999999999980105e+02,2.859192401084730051e+00
2.850999999999979764e+02,3.858391238693766212e+00
2.851999999999979991e+02,3.659839484068918569e+00
2.852999999999980218e+02,3.483796133122171401e+00
2.853999999999979877e+02,2.771865952197257954e+00
2.854999999999979536e+02,2.397834119299974365e+00
2.855999999999979764e+02,1.671109969098111492e+00
2.856999999999979991e+02,1.125376299527089508e+00
2.857999999999979650e+02,6.987655604355522687e-01
2.858999999999979309e+02,4.814012316136201952e-01
2.859999999999979536e+02,3.510686146031057886e-01
2.860999999999979764e+02,2.921770467753052047e-01
2.861999999999979423e+02,2.472212407161896164e-01
2.862999999999979082e+02,2.042611659168741545e-01
2.863999999999979309e+02,1.709682183020893587e-01
2.864999999999979536e+02,1.538323431357181692e-01
2.865999999999979195e+02,1.458487328984384990e-01
2.866999999999978854e+02,1.623539439686904340e-01
2.867999999999979082e+02,2.213463897188471530e-01
2.868999999999979309e+02,3.420137389877268563e-01
2.869999999999978968e+02,5.244106212473502726e-01
2.870999999999978627e+02,7.408310421127740630e-01
2.871999999999978854e+02,9.465207461530460442e-01
2.872999999999979082e+02,1.090971675321878775e+00
2.873999999999978741e+02,1.142609028726510934e+00
2.874999999999978400e+02,1.127297836386446539e+00
2.875999999999978627e+02,1.076461929747722701e+00
2.876999999999978854e+02,1.024116853678216810e+00
2.877999999999978513e+02,9.910141319398724224e-01
2.878999999999978172e+02,9.774573900279150962e-01
2.879999999999978400e+02,9.738542677995759567e-01
2.880999999999978627e+02,9.728346116688844081e-01
2.881999999999978286e+02,9.861122050312479681e-01
2.882999999999977945e+02,1.007708365287459218e+00
2.883999999999978172e+02,1.047516682343914818e+00
2.884999999999978400e+02,1.110618720369090262e+00
2.885999999999978058e+02,1.207481731890934773e+00
2.886999999999977717e+02,1.316837254379384925e+00
2.887999999999977945e+02,1.414797902092119530e+00
2.888999999999978172e+02,1.421893383025811364e+00
2.889999999999977831e+02,1.403222754224217050e+00
2.890999999999977490e+02,1.346512841348688871e+00
2.891999999999977717e+02,1.287050987300469851e+00
2.892999999999977945e+02,1.231134494305573757e+00
2.893999999999977604e+02,1.185912461645901139e+00
2.894999999999977263e+02,1.157446052362893774e+00
2.895999999999977490e+02,1.142963319265956512e+00
2.896999999999977717e+02,1.142240878870860010e+00
2.897999999999977376e+02,1.161508089202441196e+00
2.898999999999977035e+02,1.200967190603050128e+00
2.899999999999977263e+02,1.270562954050221016e+00
2.900999999999977490e+02,1.359137238496896494e+00
2.901999999999977149e+02,1.399509761838016564e+00
2.902999999999976808e+02,1.424698733504351944e+00
2.903999999999977035e+02,1.429361145187511228e+00
2.904999999999977263e+02,1.422733871010634976e+00
2.905999999999976922e+02,1.418571214126633340e+00
2.906999999999976581e+02,1.421980935728764495e+00
2.907999999999976808e+02,1.421507696151927291e+00
2.908999999999977035e+02,1.420211143873819415e+00
2.909999999999976694e+02,1.429587864864712010e+00
2.910999999999976353e+02,1.431347169877650538e+00
2.911999999999976581e+02,1.437515203695877597e+00
2.912999999999976808e+02,1.457437414592631653e+00
2.913999999999976467e+02,1.465267525747655508e+00
2.914999999999976126e+02,1.473774745664019115e+00
2.915999999999976353e+02,1.497174696849294273e+00
2.916999999999976581e+02,1.517118270674448821e+00
2.917999999999976239e+02,1.539314777767895492e+00
2.918999999999975898e+02,1.557695852244148638e+00
2.919999999999976126e+02,1.588458802914161971e+00
2.920999999999976353e+02,1.603463811230572134e+00
2.921999999999976012e+02,1.633989165120100395e+00
2.922999999999975671e+02,1.651636705867571386e+00
2.923999999999975898e+02,1.669083121812266146e+00
2.924999999999976126e+02,1.681481135812932903e+00
2.925999999999975785e+02,1.697032977543770693e+00
2.926999999999975444e+02,1.732957016352899338e+00
2.927999999999975671e+02,1.752780733599275775e+00
2.928999999999975898e+02,1.771100488760806169e+00
2.929999999999975557e+02,1.797324093520409338e+00
2.930999999999975216e+02,1.813421906639320458e+00
2.931999999999975444e+02,1.835057093582577181e+00
2.932999999999975671e+02,1.844307026572940655e+00
2.933999999999975330e+02,1.854682332008942947e+00
2.934999999999974989e+02,1.862492612336301034e+00
2.935999999999975216e+02,1.866050882494459051e+00
2.936999999999975444e+02,1.869345833096115239e+00
2.937999999999975103e+02,1.862711977146854103e+00
2.938999999999974762e+02,1.856375642991440422e+00
2.939999999999974989e+02,1.844745067730678922e+00
2.940999999999975216e+02,1.824367533646605866e+00
2.941999999999974875e+02,1.800937307769545859e+00
2.942999999999974534e+02,1.795363107407006442e+00
2.943999999999974762e+02,1.774597972356395381e+00
2.944999999999974989e+02,1.759664802822192176e+00
2.945999999999974648e+02,1.741128687947480991e+00
2.946999999999974307e+02,1.722595520639365496e+00
2.947999999999974534e+02,1.701084877185061739e+00
2.948999999999974762e+02,1.689571027082934718e+00
2.949999999999974420e+02,1.674431818858757914e+00
2.950999999999974079e+02,1.670267861514192820e+00
2.951999999999974307e+02,1.658183761127032030e+00
2.952999999999974534e+02,1.656517677240566311e+00
2.953999999999974193e+02,1.640819531024442890e+00
2.954999999999973852e+02,1.633231425043984775e+00
2.955999999999974079e+02,1.619759934942520685e+00
2.956999999999974307e+02,1.628711791244114027e+00
2.957999999999973966e+02,1.609661454506621459e+00
2.958999999999973625e+02,1.611895213181021358e+00
2.959999999999973852e+02,1.599375411803840352e+00
2.960999999999974079e+02,1.594346586108729369e+00
2.961999999999973738e+02,1.586265266410363584e+00
2.962999999999973397e+02,1.582165427071622332e+00
2.963999999999973625e+02,1.575778304661769047e+00
2.964999999999973852e+02,1.577508984241207335e+00
2.965999999999973511e+02,1.576858086472254561e+00
2.966999999999973170e+02,1.571877154214452288e+00
2.967999999999973397e+02,1.562608248460844784e+00
2.968999999999973625e+02,1.562470523360575791e+00
2.969999999999973284e+02,1.562131379191699976e+00
2.970999999999972943e+02,1.567924369022254405e+00
2.971999999999973170e+02,1.563323267829549668e+00
2.972999999999973397e+02,1.572885352003264403e+00
2.973999999999973056e+02,1.571468840064871086e+00
2.974999999999972715e+02,1.565968859652908662e+00
2.975999999999972943e+02,1.569399165147860709e+00
2.976999999999973170e+02,1.578393011020053471e+00
2.977999999999972829e+02,1.585558139434204872e+00
2.978999999999972488e+02,1.590256689325954431e+00
2.979999999999972715e+02,1.589356912767291519e+00
2.980999999999972943e+02,1.581151268768542062e+00
2.981999999999972601e+02,1.580031018283701627e+00
2.982999999999972260e+02,1.587011541786387703e+00
2.983999999999972488e+02,1.595260264421379581e+00
2.984999999999972715e+02,1.604801176457038459e+00
2.985999999999972374e+02,1.601405996986211333e+00
2.986999999999972033e+02,1.610356392473317744e+00
2.987999999999972260e+02,1.613775583937869351e+00
2.988999999999972488e+02,1.615445943474600021e+00
2.989999999999972147e+02,1.618624250153963606e+00
2.990999999999971806e+02,1.616463032723963522e+00
2.991999999999972033e+02,1.620323175464164489e+00
2.992999999999972260e+02,1.623871256842760014e+00
2.993999999999971919e+02,1.627453953254624164e+00
2.994999999999971578e+02,1.623812303086254571e+00
2.995999999999971806e+02,1.627591794680159021e+00
2.996999999999972033e+02,1.633144132490462308e+00
2.997999999999971692e+02,1.628107187863833571e+00
2.998999999999971351e+02,1.625801520734196703e+00
2.999999999999971578e+02,1.627835669365992777e+00
3.000999999999971806e+02,1.628869400624664010e+00
3.001999999999971465e+02,1.628578881688634183e+00
3.002999999999971124e+02,1.624171098360500887e+00
3.003999999999971351e+02,1.629452304283305786e+00
3.004999999999971578e+02,1.630916990577904180e+00
3.005999999999971237e+02,1.627884138536331626e+00
3.006999999999970896e+02,1.623796400132514695e+00
3.007999999999971124e+02,1.628324367232628855e+00
3.008999999999971351e+02,1.631312420166822541e+00
3.009999999999971010e+02,1.631683641035216015e+00
3.010999999999970669e+02,1.631358209179129659e+00
3.011999999999970896e+02,1.636441897023539038e+00
3.012999999999971124e+02,1.630784496230736957e+00
3.013999999999970782e+02,1.646468851175658443e+00
3.014999999999970441e+02,1.649642743780744825e+00
3.015999999999970669e+02,1.650007634134959211e+00
3.016999999999970896e+02,1.644035602511814353e+00
3.017999999999970555e+02,1.640937290098907209e+00
3.018999999999970214e+02,1.635200401164913719e+00
3.019999999999970441e+02,1.648215054382694778e+00
3.020999999999970669e+02,1.636924210726946605e+00
3.021999999999970328e+02,1.616867457754685988e+00
3.022999999999969987e+02,1.619214022914138962e+00
3.023999999999970214e+02,1.634176169687781677e+00
3.024999999999970441e+02,1.637295958613909308e+00
3.025999999999970100e+02,1.633739321606194839e+00
3.026999999999969759e+02,1.628165691867629050e+00
3.027999999999969987e+02,1.622640195799480489e+00
3.028999999999970214e+02,1.619254165831665704e+00
3.029999999999969873e+02,1.618769729852247430e+00
3.030999999999969532e+02,1.612268834061307166e+00
3.031999999999969759e+02,1.613189733984093488e+00
3.032999999999969987e+02,1.607362349437233773e+00
